Date,Open,Close,High,Low,Vol.,Change %
28,"Apr 02, 2023","28,198.3","28,456.1","28,522.8","27,871.7",45.04K,-0.91%
29,"Apr 01, 2023","28,456.1","28,473.7","28,795.1","28,285.6",38.09K,-0.06%
30,"Mar 31, 2023","28,473.7","28,029.3","28,646.3","27,587.5",98.44K,1.58%
31,"Mar 30, 2023","28,029.5","28,350.3","29,160.4","27,716.7",122.51K,-1.13%
32,"Mar 29, 2023","28,350.4","27,262.9","28,627.4","27,249.8",109.32K,3.99%
33,"Mar 28, 2023","27,262.2","27,127.8","27,465.0","26,665.6",94.16K,0.49%
34,"Mar 27, 2023","27,129.8","27,974.8","28,023.3","26,611.5",107.24K,-3.02%
35,"Mar 26, 2023","27,973.5","27,474.9","28,153.7","27,429.1",60.64K,1.81%
36,"Mar 25, 2023","27,475.6","27,462.2","27,761.9","27,176.7",61.36K,0.05%
37,"Mar 24, 2023","27,462.2","28,306.9","28,374.5","27,026.5",110.36K,-3.00%
38,"Mar 23, 2023","28,310.7","27,262.8","28,734.1","27,144.6",158.46K,3.85%
39,"Mar 22, 2023","27,261.7","28,114.2","28,760.3","26,668.7",262.03K,-3.03%
40,"Mar 21, 2023","28,114.0","27,719.8","28,437.8","27,350.6",438.78K,1.42%
41,"Mar 20, 2023","27,720.5","27,958.9","28,457.8","27,157.0",503.90K,-0.85%
42,"Mar 19, 2023","27,958.7","26,914.5","28,347.3","26,844.6",393.27K,3.88%
43,"Mar 18, 2023","26,914.5","27,391.9","27,659.1","26,688.7",392.47K,-1.74%
44,"Mar 17, 2023","27,391.8","25,004.4","27,742.2","24,900.1",674.96K,9.55%
45,"Mar 16, 2023","25,004.1","24,283.2","25,139.0","24,147.9",462.58K,2.97%
46,"Mar 15, 2023","24,282.7","24,699.6","25,108.9","23,932.4",614.31K,-1.69%
47,"Mar 14, 2023","24,699.7","24,121.5","26,365.9","23,994.6",753.06K,2.43%
48,"Mar 13, 2023","24,114.4","21,994.8","24,406.2","21,859.6",733.63K,9.64%
49,"Mar 12, 2023","21,994.8","20,465.0","22,028.6","20,294.2",455.69K,7.46%
50,"Mar 11, 2023","20,467.5","20,156.5","20,669.5","19,796.7",453.46K,1.54%
51,"Mar 10, 2023","20,156.7","20,362.0","20,362.6","19,591.8",655.27K,-1.01%
52,"Mar 09, 2023","20,361.8","21,710.8","21,826.5","20,079.6",468.76K,-6.21%
53,"Mar 08, 2023","21,710.8","22,197.8","22,274.3","21,661.3",316.51K,-2.19%
54,"Mar 07, 2023","22,197.8","22,410.1","22,535.1","21,968.6",304.75K,-0.95%
55,"Mar 06, 2023","22,410.0","22,428.2","22,595.4","22,320.1",215.31K,-0.08%
56,"Mar 05, 2023","22,428.3","22,347.1","22,636.7","22,213.5",160.57K,0.36%
57,"Mar 04, 2023","22,347.1","22,354.7","22,403.7","22,167.4",123.93K,-0.03%
58,"Mar 03, 2023","22,354.4","23,465.6","23,473.4","22,051.9",344.63K,-4.73%
59,"Mar 02, 2023","23,465.4","23,642.2","23,780.5","23,208.7",249.26K,-0.75%
60,"Mar 01, 2023","23,642.2","23,130.6","23,914.1","23,025.3",328.77K,2.21%
61,"Feb 28, 2023","23,130.5","23,494.0","23,595.0","23,033.8",275.10K,-1.55%
62,"Feb 27, 2023","23,494.1","23,558.7","23,876.2","23,166.8",297.65K,-0.27%
63,"Feb 26, 2023","23,558.7","23,166.1","23,671.8","23,066.0",209.12K,1.69%
64,"Feb 25, 2023","23,166.1","23,191.3","23,215.3","22,777.4",198.35K,-0.11%
65,"Feb 24, 2023","23,191.5","23,936.4","24,123.4","22,970.3",367.99K,-3.11%
66,"Feb 23, 2023","23,936.3","24,186.6","24,590.4","23,637.9",417.46K,-1.03%
67,"Feb 22, 2023","24,186.6","24,450.7","24,474.3","23,593.4",400.24K,-1.08%
68,"Feb 21, 2023","24,450.7","24,839.5","25,236.8","24,160.8",395.97K,-1.57%
69,"Feb 20, 2023","24,839.5","24,302.8","25,085.4","23,868.6",363.02K,2.21%
70,"Feb 19, 2023","24,302.9","24,631.3","25,175.2","24,273.7",312.64K,-1.33%
71,"Feb 18, 2023","24,631.4","24,573.5","24,838.9","24,457.0",223.77K,0.24%
72,"Feb 17, 2023","24,573.5","23,538.2","24,984.7","23,373.0",523.85K,4.39%
73,"Feb 16, 2023","23,539.6","24,328.1","25,233.8","23,525.9",484.50K,-3.24%
74,"Feb 15, 2023","24,327.9","22,198.5","24,330.9","22,050.8",401.53K,9.59%
75,"Feb 14, 2023","22,198.5","21,776.9","22,308.6","21,556.2",378.39K,1.96%
76,"Feb 13, 2023","21,772.6","21,782.7","21,887.5","21,418.7",312.04K,-0.07%
77,"Feb 12, 2023","21,786.8","21,859.9","22,080.7","21,653.1",211.65K,-0.33%
78,"Feb 11, 2023","21,859.8","21,627.4","21,902.9","21,605.3",182.07K,1.04%
79,"Feb 10, 2023","21,635.0","21,792.5","21,933.6","21,491.7",352.79K,-0.72%
80,"Feb 09, 2023","21,792.5","22,964.6","23,003.6","21,744.6",425.44K,-5.10%
81,"Feb 08, 2023","22,964.6","23,251.7","23,425.1","22,691.7",289.12K,-1.23%
